Fri Aug  4 14:28:57 2023||-0.200 0.060 -0.984 0.979 0.080 0.136
Fri Aug  4 14:28:57 2023||-0.199 0.060 -0.980 0.967 0.108 0.204
Fri Aug  4 14:28:57 2023||-0.205 0.060 -0.976 0.966 0.104 0.123
Fri Aug  4 14:28:57 2023||-0.200 0.063 -0.978 0.965 0.149 0.248
Fri Aug  4 14:28:57 2023||-0.195 0.058 -0.979 0.951 0.123 0.217
Fri Aug  4 14:28:57 2023||-0.199 0.060 -0.981 0.953 0.118 0.198
Fri Aug  4 14:28:57 2023||-0.203 0.060 -0.973 0.940 0.135 0.229
Fri Aug  4 14:28:57 2023||-0.199 0.057 -0.978 0.965 0.145 0.226
Fri Aug  4 14:28:58 2023||-0.198 0.060 -0.978 0.948 0.116 0.208
Fri Aug  4 14:28:58 2023||-0.202 0.060 -0.983 0.935 0.092 0.186
Fri Aug  4 14:28:58 2023||-0.203 0.057 -0.976 0.954 0.134 0.420
Fri Aug  4 14:28:58 2023||-0.198 0.060 -0.980 0.938 0.246 0.401
Fri Aug  4 14:28:58 2023||-0.197 0.060 -0.981 0.919 0.164 0.325
Fri Aug  4 14:28:58 2023||-0.200 0.062 -0.975 0.918 0.161 0.321
Fri Aug  4 14:28:58 2023||-0.197 0.058 -0.981 0.911 0.166 0.312
Fri Aug  4 14:28:58 2023||-0.204 0.058 -0.987 0.909 0.172 0.329
Fri Aug  4 14:28:58 2023||-0.200 0.059 -0.984 0.923 0.181 0.246
Fri Aug  4 14:28:58 2023||-0.200 0.061 -0.980 0.916 0.172 0.309
Fri Aug  4 14:28:58 2023||-0.202 0.062 -0.974 0.904 0.182 0.395
Fri Aug  4 14:28:58 2023||-0.200 0.056 -0.980 0.938 0.154 0.308
Fri Aug  4 14:28:59 2023||-0.199 0.060 -0.979 0.918 0.248 0.357
Fri Aug  4 14:28:59 2023||-0.197 0.059 -0.981 0.880 -0.087 0.095
Fri Aug  4 14:28:59 2023||-0.197 0.059 -0.979 1.000 -0.229 0.063
Fri Aug  4 14:28:59 2023||-0.201 0.056 -0.976 1.010 -0.294 -0.406
Fri Aug  4 14:28:59 2023||-0.198 0.060 -0.979 0.974 -0.122 0.044
Fri Aug  4 14:28:59 2023||-0.204 0.058 -0.976 1.709 0.846 -0.578
